YEARS,COUNT,PERCENTAGE
0.0,915,0.0366%
0.1,167,0.0067%
0.2,116,0.0046%
0.3,83,0.0033%
0.4,71,0.0028%
0.5,86,0.0034%
0.6,51,0.002%
0.7,41,0.0016%
0.8,47,0.0019%
0.9,56,0.0022%
1.0,109,0.0044%
1.1,32,0.0013%
1.2,46,0.0018%
1.3,31,0.0012%
1.4,32,0.0013%
1.5,25,0.001%
1.6,31,0.0012%
1.7,28,0.0011%
1.8,24,0.001%
1.9,29,0.0012%
2.0,46,0.0018%
2.1,29,0.0012%
2.2,24,0.001%
2.3,16,6.0E-4%
2.4,15,6.0E-4%
2.5,14,6.0E-4%
2.6,8,3.0E-4%
2.7,13,5.0E-4%
2.8,16,6.0E-4%
2.9,17,7.0E-4%
3.0,37,0.0015%
3.1,11,4.0E-4%
3.2,9,4.0E-4%
3.3,12,5.0E-4%
3.4,11,4.0E-4%
3.5,17,7.0E-4%
3.6,12,5.0E-4%
3.7,8,3.0E-4%
3.8,13,5.0E-4%
3.9,13,5.0E-4%
4.0,22,9.0E-4%
4.1,15,6.0E-4%
4.2,5,2.0E-4%
4.3,5,2.0E-4%
4.4,12,5.0E-4%
4.5,10,4.0E-4%
4.6,3,1.0E-4%
4.7,9,4.0E-4%
4.8,10,4.0E-4%
4.9,8,3.0E-4%
5.0,23,9.0E-4%
5.1,4,2.0E-4%
5.2,6,2.0E-4%
5.3,8,3.0E-4%
5.4,9,4.0E-4%
5.5,5,2.0E-4%
5.6,10,4.0E-4%
5.7,10,4.0E-4%
5.8,8,3.0E-4%
5.9,7,3.0E-4%
6.0,18,7.0E-4%
6.1,6,2.0E-4%
6.2,8,3.0E-4%
6.3,2,1.0E-4%
6.4,4,2.0E-4%
6.5,5,2.0E-4%
6.6,7,3.0E-4%
6.7,7,3.0E-4%
6.8,10,4.0E-4%
6.9,6,2.0E-4%
7.0,27,0.0011%
7.1,4,2.0E-4%
7.2,6,2.0E-4%
7.3,2,1.0E-4%
7.4,8,3.0E-4%
7.5,4,2.0E-4%
7.6,4,2.0E-4%
7.7,4,2.0E-4%
7.8,3,1.0E-4%
7.9,3,1.0E-4%
8.0,15,6.0E-4%
8.1,4,2.0E-4%
8.2,5,2.0E-4%
8.3,2,1.0E-4%
8.4,6,2.0E-4%
8.5,1,0.0%
8.6,3,1.0E-4%
8.7,5,2.0E-4%
8.8,6,2.0E-4%
8.9,2,1.0E-4%
9.0,8,3.0E-4%
9.1,1,0.0%
9.2,6,2.0E-4%
9.3,3,1.0E-4%
9.4,5,2.0E-4%
9.5,3,1.0E-4%
9.6,4,2.0E-4%
9.7,2,1.0E-4%
9.8,5,2.0E-4%
9.9,4,2.0E-4%
10.0,22,9.0E-4%
10.1,8,3.0E-4%
10.2,5,2.0E-4%
10.3,1,0.0%
10.4,2,1.0E-4%
10.5,11,4.0E-4%
10.6,9,4.0E-4%
10.7,5,2.0E-4%
10.8,2,1.0E-4%
10.9,5,2.0E-4%
11.0,18,7.0E-4%
11.1,5,2.0E-4%
11.2,5,2.0E-4%
11.3,10,4.0E-4%
11.4,2,1.0E-4%
11.5,5,2.0E-4%
11.6,4,2.0E-4%
11.7,4,2.0E-4%
11.8,4,2.0E-4%
11.9,2,1.0E-4%
12.0,10,4.0E-4%
12.1,4,2.0E-4%
12.2,4,2.0E-4%
12.3,4,2.0E-4%
12.4,3,1.0E-4%
12.5,4,2.0E-4%
12.6,3,1.0E-4%
12.7,6,2.0E-4%
12.8,5,2.0E-4%
12.9,3,1.0E-4%
13.0,16,6.0E-4%
13.1,1,0.0%
13.2,5,2.0E-4%
13.3,4,2.0E-4%
13.4,1,0.0%
13.5,1,0.0%
13.6,3,1.0E-4%
13.7,5,2.0E-4%
13.8,1,0.0%
13.9,4,2.0E-4%
14.0,14,6.0E-4%
14.1,1,0.0%
14.2,8,3.0E-4%
14.3,3,1.0E-4%
