YEARS,COUNT,PERCENTAGE
0.0,879,0.0352%
0.1,184,0.0074%
0.2,123,0.0049%
0.3,99,0.004%
0.4,76,0.003%
0.5,78,0.0031%
0.6,50,0.002%
0.7,49,0.002%
0.8,57,0.0023%
0.9,55,0.0022%
1.0,106,0.0042%
1.1,51,0.002%
1.2,46,0.0018%
1.3,29,0.0012%
1.4,41,0.0016%
1.5,26,0.001%
1.6,41,0.0016%
1.7,37,0.0015%
1.8,29,0.0012%
1.9,16,6.0E-4%
2.0,57,0.0023%
2.1,23,9.0E-4%
2.2,16,6.0E-4%
2.3,17,7.0E-4%
2.4,14,6.0E-4%
2.5,8,3.0E-4%
2.6,14,6.0E-4%
2.7,11,4.0E-4%
2.8,15,6.0E-4%
2.9,12,5.0E-4%
3.0,42,0.0017%
3.1,17,7.0E-4%
3.2,17,7.0E-4%
3.3,15,6.0E-4%
3.4,14,6.0E-4%
3.5,12,5.0E-4%
3.6,10,4.0E-4%
3.7,8,3.0E-4%
3.8,4,2.0E-4%
3.9,11,4.0E-4%
4.0,31,0.0012%
4.1,11,4.0E-4%
4.2,5,2.0E-4%
4.3,12,5.0E-4%
4.4,5,2.0E-4%
4.5,9,4.0E-4%
4.6,10,4.0E-4%
4.7,6,2.0E-4%
4.8,12,5.0E-4%
4.9,4,2.0E-4%
5.0,21,8.0E-4%
5.1,9,4.0E-4%
5.2,9,4.0E-4%
5.3,6,2.0E-4%
5.4,7,3.0E-4%
5.5,7,3.0E-4%
5.6,6,2.0E-4%
5.7,8,3.0E-4%
5.8,9,4.0E-4%
5.9,5,2.0E-4%
6.0,10,4.0E-4%
6.1,5,2.0E-4%
6.2,10,4.0E-4%
6.3,4,2.0E-4%
6.4,5,2.0E-4%
6.5,8,3.0E-4%
6.6,6,2.0E-4%
6.7,3,1.0E-4%
6.8,7,3.0E-4%
6.9,9,4.0E-4%
7.0,18,7.0E-4%
7.1,5,2.0E-4%
7.2,8,3.0E-4%
7.3,10,4.0E-4%
7.4,5,2.0E-4%
7.5,5,2.0E-4%
7.6,6,2.0E-4%
7.7,8,3.0E-4%
7.8,5,2.0E-4%
7.9,2,1.0E-4%
8.0,17,7.0E-4%
8.1,6,2.0E-4%
8.2,7,3.0E-4%
8.3,7,3.0E-4%
8.4,3,1.0E-4%
8.5,2,1.0E-4%
8.6,2,1.0E-4%
8.7,5,2.0E-4%
8.8,4,2.0E-4%
8.9,5,2.0E-4%
9.0,19,8.0E-4%
9.1,6,2.0E-4%
9.2,1,0.0%
9.3,4,2.0E-4%
9.4,2,1.0E-4%
9.5,6,2.0E-4%
9.6,4,2.0E-4%
9.7,2,1.0E-4%
9.8,7,3.0E-4%
9.9,4,2.0E-4%
10.0,12,5.0E-4%
10.1,3,1.0E-4%
10.2,4,2.0E-4%
10.3,5,2.0E-4%
10.4,6,2.0E-4%
10.5,6,2.0E-4%
10.6,2,1.0E-4%
10.7,7,3.0E-4%
10.8,5,2.0E-4%
10.9,3,1.0E-4%
11.0,9,4.0E-4%
11.1,3,1.0E-4%
11.2,3,1.0E-4%
11.3,6,2.0E-4%
11.4,3,1.0E-4%
11.5,1,0.0%
11.6,3,1.0E-4%
11.7,8,3.0E-4%
11.9,2,1.0E-4%
12.0,12,5.0E-4%
12.1,5,2.0E-4%
12.2,4,2.0E-4%
12.3,2,1.0E-4%
12.4,1,0.0%
12.5,2,1.0E-4%
12.6,2,1.0E-4%
12.7,3,1.0E-4%
12.9,2,1.0E-4%
13.0,10,4.0E-4%
13.1,3,1.0E-4%
13.2,5,2.0E-4%
13.3,4,2.0E-4%
13.4,4,2.0E-4%
13.5,4,2.0E-4%
13.6,3,1.0E-4%
13.7,1,0.0%
13.8,1,0.0%
13.9,1,0.0%
14.0,15,6.0E-4%
14.1,3,1.0E-4%
14.2,3,1.0E-4%
14.3,2,1.0E-4%
14.4,1,0.0%
14.5,7,3.0E-4%
14.6,7,3.0E-4%
14.7,3,1.0E-4%
14.8,3,1.0E-4%
14.9,5,2.0E-4%
15.0,12,5.0E-4%
15.1,3,1.0E-4%
15.2,1,0.0%
15.3,3,1.0E-4%
15.4,9,4.0E-4%
15.5,3,1.0E-4%
15.6,5,2.0E-4%
15.7,7,3.0E-4%
15.8,5,2.0E-4%
15.9,4,2.0E-4%
16.0,19,8.0E-4%
16.1,6,2.0E-4%
16.2,5,2.0E-4%
16.3,4,2.0E-4%
16.4,4,2.0E-4%
16.5,3,1.0E-4%
16.6,5,2.0E-4%
16.7,4,2.0E-4%
16.8,9,4.0E-4%
16.9,3,1.0E-4%
17.0,19,8.0E-4%
17.1,5,2.0E-4%
17.2,8,3.0E-4%
17.3,5,2.0E-4%
17.4,8,3.0E-4%
17.5,4,2.0E-4%
17.6,5,2.0E-4%
17.7,4,2.0E-4%
17.8,9,4.0E-4%
17.9,5,2.0E-4%
18.0,20,8.0E-4%
18.1,7,3.0E-4%
18.2,6,2.0E-4%
18.3,2,1.0E-4%
18.4,8,3.0E-4%
18.5,4,2.0E-4%
18.6,13,5.0E-4%
18.7,8,3.0E-4%
18.8,4,2.0E-4%
18.9,4,2.0E-4%
19.0,14,6.0E-4%
19.1,8,3.0E-4%
19.2,2,1.0E-4%
19.3,9,4.0E-4%
19.4,6,2.0E-4%
19.5,10,4.0E-4%
19.6,11,4.0E-4%
19.7,6,2.0E-4%
19.8,7,3.0E-4%
19.9,9,4.0E-4%
20.0,28,0.0011%
20.1,6,2.0E-4%
20.2,6,2.0E-4%
20.3,5,2.0E-4%
20.4,5,2.0E-4%
20.5,2,1.0E-4%
20.6,6,2.0E-4%
20.7,6,2.0E-4%
20.8,5,2.0E-4%
20.9,11,4.0E-4%
21.0,30,0.0012%
21.1,6,2.0E-4%
21.2,11,4.0E-4%
21.3,7,3.0E-4%
